Processes,Size,Algorithm,Latency(us)
8,2,Rabenseifner,0.35
8,4,Rabenseifner,0.34
8,8,Rabenseifner,1.79
8,16,Rabenseifner,1.73
8,32,Rabenseifner,1.73
8,64,Rabenseifner,1.77
8,128,Rabenseifner,1.71
8,256,Rabenseifner,2.17
8,512,Rabenseifner,2.16
8,1024,Rabenseifner,2.65
8,2048,Rabenseifner,2.74
8,4096,Rabenseifner,3.22
8,8192,Rabenseifner,4.65
8,16384,Rabenseifner,6.17
8,32768,Rabenseifner,11.16
8,65536,Rabenseifner,20.48
8,131072,Rabenseifner,39.76
8,262144,Rabenseifner,184.67
8,524288,Rabenseifner,1651.26
8,1048576,Rabenseifner,2807.5
16,2,Rabenseifner,0.68
16,4,Rabenseifner,0.68
16,8,Rabenseifner,0.69
16,16,Rabenseifner,2.12
16,32,Rabenseifner,2.16
16,64,Rabenseifner,2.13
16,128,Rabenseifner,2.39
16,256,Rabenseifner,2.63
16,512,Rabenseifner,2.92
16,1024,Rabenseifner,3.22
16,2048,Rabenseifner,4.0
16,4096,Rabenseifner,4.39
16,8192,Rabenseifner,5.25
16,16384,Rabenseifner,8.55
16,32768,Rabenseifner,17.37
16,65536,Rabenseifner,31.14
16,131072,Rabenseifner,66.78
16,262144,Rabenseifner,285.12
16,524288,Rabenseifner,693.11
16,1048576,Rabenseifner,1468.32
32,2,Rabenseifner,1.2
32,4,Rabenseifner,1.21
32,8,Rabenseifner,1.21
32,16,Rabenseifner,1.2
32,32,Rabenseifner,2.74
32,64,Rabenseifner,2.83
32,128,Rabenseifner,3.05
32,256,Rabenseifner,3.06
32,512,Rabenseifner,3.17
32,1024,Rabenseifner,3.94
32,2048,Rabenseifner,4.81
32,4096,Rabenseifner,5.81
32,8192,Rabenseifner,7.07
32,16384,Rabenseifner,11.01
32,32768,Rabenseifner,19.23
32,65536,Rabenseifner,37.76
32,131072,Rabenseifner,83.97
32,262144,Rabenseifner,311.47
32,524288,Rabenseifner,758.39
32,1048576,Rabenseifner,1645.61
64,2,Rabenseifner,2.42
64,4,Rabenseifner,2.41
64,8,Rabenseifner,2.46
64,16,Rabenseifner,2.45
64,32,Rabenseifner,2.49
64,64,Rabenseifner,4.18
64,128,Rabenseifner,4.16
64,256,Rabenseifner,4.48
64,512,Rabenseifner,4.73
64,1024,Rabenseifner,5.49
64,2048,Rabenseifner,6.42
64,4096,Rabenseifner,7.75
64,8192,Rabenseifner,9.74
64,16384,Rabenseifner,14.07
64,32768,Rabenseifner,23.26
64,65536,Rabenseifner,44.41
64,131072,Rabenseifner,100.29
64,262144,Rabenseifner,368.24
64,524288,Rabenseifner,882.23
64,1048576,Rabenseifner,1745.3
128,2,Rabenseifner,5.77
128,4,Rabenseifner,6.36
128,8,Rabenseifner,6.31
128,16,Rabenseifner,6.38
128,32,Rabenseifner,6.06
128,64,Rabenseifner,6.15
128,128,Rabenseifner,6.74
128,256,Rabenseifner,6.91
128,512,Rabenseifner,6.89
128,1024,Rabenseifner,7.58
128,2048,Rabenseifner,9.28
128,4096,Rabenseifner,9.98
128,8192,Rabenseifner,14.35
128,16384,Rabenseifner,18.13
128,32768,Rabenseifner,30.32
128,65536,Rabenseifner,64.52
128,131072,Rabenseifner,161.43
128,262144,Rabenseifner,493.94
128,524288,Rabenseifner,1340.97
128,1048576,Rabenseifner,1927.18
256,2,Rabenseifner,3.35
256,4,Rabenseifner,3.46
256,8,Rabenseifner,3.32
256,16,Rabenseifner,3.29
256,32,Rabenseifner,3.41
256,64,Rabenseifner,3.5
256,128,Rabenseifner,3.61
256,256,Rabenseifner,31.71
256,512,Rabenseifner,44.37
256,1024,Rabenseifner,28.61
256,2048,Rabenseifner,28.69
256,4096,Rabenseifner,30.35
256,8192,Rabenseifner,33.79
256,16384,Rabenseifner,38.96
256,32768,Rabenseifner,45.94
256,65536,Rabenseifner,75.68
256,131072,Rabenseifner,170.7
256,262144,Rabenseifner,496.81
256,524288,Rabenseifner,1166.28
256,1048576,Rabenseifner,1947.96
